"ID","Adoption","Died","Euthanasia","Return_to_owner","Transfer"
"1",0.123,0.002,0.005,0.043,0.827
"2",0.743,0,0,0.256,0.001
"3",0.993,0,0.001,0,0.006
"4",0.077,0,0.001,0.163,0.759
"5",0.492,0,0,0.507,0.001
"6",0.108,0,0,0.839,0.053
"7",0.351,0.017,0.224,0.073,0.335
"8",0.915,0.001,0.002,0,0.082
"9",0.995,0,0,0.002,0.003
"10",0.989,0,0,0.009,0.002
"11",0.965,0,0,0.023,0.012
"12",0.015,0,0.21,0.387,0.388
"13",0.926,0,0.009,0.019,0.046
"14",0.888,0,0.007,0.023,0.082
"15",0.998,0,0,0,0.002
"16",0.943,0,0,0.048,0.009
"17",0.523,0,0,0.471,0.006
"18",0.607,0,0,0.374,0.019
"19",0.358,0,0.002,0.089,0.551
"20",0.006,0,0.152,0.023,0.819
"21",0.917,0,0,0.057,0.026
"22",0,0,0,0,1
"23",0.966,0,0,0.01,0.024
"24",0,0,0,0,1
"25",0.931,0,0.003,0.052,0.014
"26",0.9,0,0.001,0,0.099
"27",0.992,0,0,0.001,0.007
"28",0.019,0.036,0.24,0.064,0.641
"29",0.605,0,0,0.393,0.002
"30",0.293,0,0,0.707,0
"31",0.208,0.001,0.005,0.067,0.719
"32",0.968,0,0,0.01,0.022
"33",0.191,0.001,0.286,0.048,0.474
"34",0.999,0,0,0,0.001
"35",0.05,0,0,0,0.95
"36",0.643,0,0.002,0.267,0.088
"37",0.037,0,0.044,0.001,0.918
"38",1,0,0,0,0
"39",0.178,0,0.007,0.702,0.113
"40",0.537,0,0.005,0.013,0.445
"41",0.263,0.001,0.033,0.15,0.553
"42",0,0,0,0,1
"43",0.888,0,0,0,0.112
"44",0.023,0.011,0.003,0,0.963
"45",0.175,0,0.306,0.002,0.517
"46",0.488,0,0.012,0.054,0.446
"47",0.304,0,0.012,0.117,0.567
"48",0.102,0,0.026,0.844,0.028
"49",0.336,0,0,0.629,0.035
"50",0.049,0.004,0.015,0.184,0.748
"51",0.195,0.075,0.007,0.009,0.714
"52",0.231,0,0,0.736,0.033
"53",0.999,0,0,0,0.001
"54",0.391,0,0.007,0.002,0.6
"55",0.005,0.031,0.321,0.001,0.642
"56",0.962,0,0,0.008,0.03
"57",0.76,0,0,0.238,0.002
"58",0,0,0,0,1
"59",0,0,0.002,0,0.998
"60",0.784,0,0.001,0.063,0.152
"61",0.761,0,0.109,0.026,0.104
"62",0.264,0,0.03,0.584,0.122
"63",0.96,0,0,0,0.04
"64",0.001,0,0,0,0.999
"65",0,0,0,0,1
"66",1,0,0,0,0
"67",0.999,0,0,0,0.001
"68",0.008,0,0.003,0.151,0.838
"69",0.463,0,0.003,0.525,0.009
"70",0,0,0,0,1
"71",0.017,0.003,0.022,0.058,0.9
"72",0.993,0,0,0.007,0
"73",0,0.005,0.076,0,0.919
"74",0.267,0,0.002,0.649,0.082
"75",0.04,0.019,0.132,0.001,0.808
"76",0.19,0.011,0.056,0.002,0.741
"77",0.794,0,0,0.001,0.205
"78",0.04,0,0.093,0.002,0.865
"79",0.43,0,0.002,0.521,0.047
"80",0.982,0,0,0.017,0.001
"81",0.004,0,0,0,0.996
"82",0.001,0,0,0,0.999
"83",0.951,0,0,0.049,0
"84",0.002,0,0.014,0,0.984
"85",0.199,0,0.005,0.763,0.033
"86",0.001,0.024,0.004,0,0.971
"87",0.036,0,0.243,0.55,0.171
"88",0.806,0.001,0.014,0.079,0.1
"89",0,0,0.001,0,0.999
"90",0.759,0,0,0.021,0.22
"91",0,0,0.004,0,0.996
"92",0,0,0.033,0,0.967
"93",0.924,0,0.001,0.004,0.071
"94",0.11,0,0,0.802,0.088
"95",0.037,0.002,0.137,0,0.824
"96",0.34,0,0.001,0.643,0.016
"97",0.214,0,0.001,0.743,0.042
"98",0.004,0,0,0,0.996
"99",0.499,0.001,0.009,0.006,0.485
"100",0.577,0,0.002,0.393,0.028
"101",0.96,0,0,0,0.04
"102",0.999,0,0,0,0.001
"103",0.152,0,0.026,0.711,0.111
"104",0.764,0,0.043,0.051,0.142
"105",0.977,0,0,0.001,0.022
"106",0.919,0,0.001,0.031,0.049
"107",0.549,0,0,0.445,0.006
"108",0.01,0,0.006,0.286,0.698
"109",0.977,0,0,0.007,0.016
"110",0.383,0,0,0.061,0.556
"111",0.716,0,0,0.284,0
"112",0.857,0,0,0.039,0.104
"113",0.305,0,0.014,0.621,0.06
"114",0.214,0,0,0.763,0.023
"115",0,0.024,0,0,0.976
"116",0.586,0,0,0.018,0.396
"117",0.989,0,0,0.008,0.003
"118",0.011,0,0.167,0.454,0.368
"119",0.299,0,0.014,0.53,0.157
"120",0.294,0,0.167,0.114,0.425
"121",0.972,0,0,0,0.028
"122",0.965,0,0,0,0.035
"123",0.999,0,0,0,0.001
"124",0.001,0,0,0,0.999
"125",0.054,0.001,0.019,0.019,0.907
"126",0.936,0,0,0.047,0.017
"127",0.042,0.005,0.062,0.003,0.888
"128",0.99,0,0,0,0.01
"129",0.999,0,0,0,0.001
"130",0.998,0,0,0.001,0.001
"131",0.264,0,0,0.736,0
"132",0.999,0,0,0,0.001
"133",0.686,0,0.007,0.004,0.303
"134",0.467,0,0.001,0.5,0.032
"135",0.547,0,0.003,0.077,0.373
"136",0.352,0,0.002,0.635,0.011
"137",0.216,0,0.034,0.025,0.725
"138",0,0,0,0,1
"139",0.293,0,0.001,0.629,0.077
"140",0.361,0,0.1,0.305,0.234
"141",0.98,0,0,0.019,0.001
"142",0.272,0,0,0,0.728
"143",0.378,0,0.057,0.487,0.078
"144",0.315,0,0.002,0.668,0.015
"145",0.929,0,0.002,0.016,0.053
"146",0.231,0,0.05,0.685,0.034
"147",0.463,0.01,0.054,0.091,0.382
"148",0.749,0,0,0.251,0
"149",0,0,0,0,1
"150",0.036,0,0,0,0.964
"151",0.239,0.005,0.331,0.048,0.377
"152",0.008,0.002,0.44,0.008,0.542
"153",0.896,0,0,0.016,0.088
"154",0.017,0,0.018,0.34,0.625
"155",0.913,0.009,0.001,0,0.077
"156",0.975,0,0,0.02,0.005
"157",0.098,0,0,0.887,0.015
"158",0.001,0,0.002,0,0.997
"159",0.513,0.004,0.011,0.184,0.288
"160",0.211,0,0.005,0.747,0.037
"161",0.734,0,0.001,0.24,0.025
"162",0.776,0,0.011,0.022,0.191
"163",0,0.008,0.002,0.005,0.985
"164",0.998,0,0,0.001,0.001
"165",0.17,0.001,0.013,0.702,0.114
"166",0.99,0,0,0,0.01
"167",0.917,0,0,0.073,0.01
"168",0.364,0,0.003,0.557,0.076
"169",0.934,0,0,0.052,0.014
"170",0.65,0,0,0.074,0.276
"171",0,0.005,0.255,0.001,0.739
"172",0.786,0,0.001,0.204,0.009
"173",0.502,0,0.021,0.384,0.093
"174",0.186,0,0.007,0.797,0.01
"175",0.419,0,0.001,0.569,0.011
"176",0.039,0,0,0,0.961
"177",0.261,0,0,0.716,0.023
"178",0.996,0,0,0.003,0.001
"179",0.683,0,0.023,0.08,0.214
"180",0.089,0.007,0.015,0.082,0.807
"181",0.011,0,0,0,0.989
"182",0.321,0.012,0.087,0.005,0.575
"183",0.758,0,0,0.029,0.213
"184",0.095,0.001,0.018,0.058,0.828
"185",0.735,0,0,0.265,0
"186",0.281,0.039,0.044,0.586,0.05
"187",0.006,0,0,0,0.994
"188",0.121,0,0,0.825,0.054
"189",0.674,0,0.024,0.162,0.14
"190",0.978,0,0,0.015,0.007
"191",0.559,0,0,0.44,0.001
"192",0.564,0,0,0.394,0.042
"193",0.179,0,0.051,0.37,0.4
"194",0.648,0,0.001,0.017,0.334
"195",0.935,0,0,0.006,0.059
"196",0.979,0,0,0,0.021
"197",0.992,0,0,0.001,0.007
"198",0.951,0,0,0.049,0
"199",0.404,0,0.008,0.574,0.014
"200",0.769,0,0.003,0.091,0.137
"201",0.001,0,0,0,0.999
"202",0.313,0,0,0.032,0.655
"203",0.999,0,0,0.001,0
"204",0.817,0,0.006,0.026,0.151
"205",0.108,0,0.065,0.666,0.161
"206",0.529,0,0.005,0.016,0.45
"207",0.952,0,0,0.028,0.02
"208",0.063,0,0.023,0.739,0.175
"209",0.068,0,0.001,0.859,0.072
"210",0.462,0,0,0.537,0.001
"211",0.002,0.002,0.018,0,0.978
"212",0.137,0,0,0.851,0.012
"213",0.582,0,0,0.416,0.002
"214",0.893,0,0.005,0.039,0.063
"215",0.001,0,0,0,0.999
"216",0.823,0,0.001,0.059,0.117
"217",0.724,0.001,0.01,0.089,0.176
"218",0.875,0,0.016,0.002,0.107
"219",0.724,0,0.003,0.104,0.169
"220",0.142,0,0,0.811,0.047
"221",0.009,0,0.026,0.702,0.263
"222",0.001,0,0,0,0.999
"223",0.094,0,0,0,0.906
"224",0.875,0,0,0.075,0.05
"225",0.059,0.003,0.091,0.547,0.3
"226",0.336,0,0,0.611,0.053
